ID,X,Y,Z
1,-0.324554,0.081522,-0.452144
2,0.139446,-1.232478,0.985858
3,1.641446,-0.078478,-0.876144
4,-1.182554,0.557522,1.385856
5,1.713446,0.143522,1.107856
6,-1.874554,-0.956478,0.277856
7,0.687446,1.669524,-1.132144
8,0.467446,1.679522,1.389856
9,0.799446,-1.950478,-0.794144
10,-1.420554,1.755522,-0.566142
11,-0.972554,-1.438478,-1.568144
12,0.483446,-0.406478,-2.474144
13,0.349446,0.045522,2.573856
14,-2.210554,0.121522,-1.396142
15,-0.800554,1.371524,-2.432144
16,-0.876554,-2.780478,-0.078144
17,-2.894554,0.763524,0.363858
18,-0.078554,3.085522,0.077856
19,2.635446,-1.552476,0.585856
20,-1.548554,-1.722476,2.085856
21,2.617446,1.885522,0.755856
22,-1.886554,2.425522,1.259858
23,1.577446,-2.074478,2.189856
24,-0.102554,-3.056478,1.741856
25,-0.764554,1.749524,2.961856
26,2.627448,1.727522,-1.628144
27,1.173446,1.379522,-3.074144
28,-1.504554,-0.330478,-3.224144
29,-1.492554,-0.158478,3.331856
30,1.557446,-3.308478,0.575858
31,2.607446,-0.326476,-2.612144
32,1.823446,3.197524,-0.528142
33,1.553446,-2.078478,-2.672144
34,3.595446,-0.510478,-0.852144
35,-2.748554,-2.472476,-0.710144
36,-3.096554,-0.126478,2.137856
37,-0.010554,-1.762478,3.361856
38,2.489446,1.201522,2.629856
39,-0.992554,3.335522,-1.722144
40,2.653446,-2.636478,-1.102144
41,3.095446,-0.668478,2.307856
42,-2.734554,1.925522,-2.062144
43,-3.834554,-0.734478,-0.596144
44,0.039446,-3.564478,-1.756144
45,-0.360554,-1.950478,-3.484144
46,-0.260554,3.449522,2.039856
47,-2.958554,-1.430478,-2.412144
48,1.007446,3.229522,-2.350144
49,-3.182554,2.653522,-0.246144
50,1.699446,3.087522,2.207858
51,1.715446,-0.834478,3.741856
52,0.961446,1.413522,3.903856
53,-1.802554,-3.076478,-2.372144
54,-2.982554,-2.838478,1.243856
55,4.161446,1.363522,-0.406144
56,-1.820554,4.069522,0.115856
57,1.433446,-0.342478,-4.230144
58,4.135446,0.841522,1.523858
59,-3.698554,1.771522,1.915858
60,0.081446,-4.530478,0.003856
61,-4.300554,1.167522,-0.998144
62,0.027446,-0.200478,4.633856
63,-1.572554,-4.240478,1.083856
64,-3.772554,0.355522,-2.746144
65,-2.644554,1.455522,3.581856
66,-0.352554,2.843524,-3.766144
67,-4.358554,-1.382478,1.221856
68,-1.630554,1.381524,-4.262144
69,0.933446,4.599522,0.915858
70,0.445446,4.677522,-1.014142
71,4.587446,-1.030478,1.003856
72,-1.732554,-4.444478,-0.898144
73,1.777446,-4.448478,-1.056142
74,3.119446,1.373522,-3.532144
75,-3.412554,-1.920478,2.965856
76,-4.824554,0.521522,0.829856
77,3.959446,-1.774478,-2.352144
78,-1.826554,-1.946478,4.183856
79,-2.074554,-3.466478,2.903856
80,4.015446,-2.982478,0.319856
81,0.899446,-3.628478,3.373856
82,0.277446,1.295522,-4.864144
83,3.777446,3.253522,-0.958144
84,2.867446,4.085522,0.933858
85,-2.092554,3.685522,2.801856
86,2.547448,-3.814478,2.227856
87,-2.276554,-1.866478,-4.238144
88,0.721446,-3.632478,-3.642144
89,0.507446,3.433524,3.905858
90,4.003446,-2.456478,2.289856
